State,Rate
Maine,3.2
FL,2.9
LA,2.9
WV,4.4
IN ,4.8
UT ,4
KY,2.9
TN,3
MA ,2.3
AK,1.9
NY,1.6
OH,2.4
WI,1.9
MT,1.6
IL,1.2
WA,1.1
NJ,1.1
GA,0.6
MI,1.2
PA,1.6
AL,1.8
MN,1.1
SD,3.2
MD,0.5
NC,1.4
OR,0.5
OK,0.6
IA,0.3
NE,0.2
NH,1.5
MO,0.7
NV,0.5
VA,0.8
KS,0.7
CT,0.2
VT,1
CO,0.8
ID,1
CA,0.5
SC,0.2
Tx,0.2
NM,0.5
