State,Rate
ME,11.9
FL,6.1
LA,6
WV,5.3
IN ,3.6
UT ,3.2
KY,3.2
TN,2.5
MA ,2.2
AK,2.1
NY,1.8
OH,1.6
WI,1.6
MT,1.6
IL,1.6
WA,1.4
NJ,1.3
GA,1.3
MI,1.2
PA,1.1
AL,1
MN,1
SD,0.8
MD,0.8
NC,0.7
OR,0.7
OK,0.5
IA,0.5
NE,0.5
NH,0.4
MO,0.4
NV,0.4
VA,0.3
KS,0.3
CT,0.3
VT,0.2
CO,0.2
ID,0.1
CA,0.1
SC,0.1
Tx,0.1
NM,0.01
